group,demographic_category,demographic,1971-1974,1976-1980,1988-1994,1999-2000,2001-2002,2003-2004,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018
Adults,,,,,22.9,30.5,30.5,32.2,34.3,33.7,35.7,34.9,37.7,39.6,42.4
Adults,Age,Adults 20-39,,,17.7,26,26.1,28.5,29.1,30.7,32.6,30.3,34.3,35.7,40
Adults,Age,Adults 40-59,,,27.9,33.5,33.9,36.8,40.4,36.2,36.6,39.5,41,42.8,44.8
Adults,Age,Adults 60+,,,23.7,33.5,32.8,31,33.4,35.1,39.7,35.4,38.5,41,42.8
Adults,Race and Ethnicity,Asian,,,,,,,,,,10.8,12.6,12.7,17.4
Adults,Race and Ethnicity,Black,,,,,,,,44.1,49.5,47.8,48.4,46.8,49.6
Adults,Race and Ethnicity,Hispanic,,,,,,,,38.7,39.1,42.5,42.6,47,44.8
Adults,Race and Ethnicity,White,,,,,,,,32.4,34.3,32.6,36.4,37.9,42.2
